股票简称,股票代码,上市日期,发行价,最新价,发行中签率,总发行数,首日涨幅
高华科技,688539,2023-04-18 00:00:00,38.22,41.97,0.03997401,3320,-0.21
索辰科技,688507,2023-04-18 00:00:00,245.56,118.83,0.04470476,1033.34,-1.3
光大同创,301387,2023-04-18 00:00:00,58.32,46.29,0.0227895897,1900,0.46
北方长龙,301357,2023-04-18 00:00:00,50,61.39,0.0219461748,1700,20.0
华曙高科,688433,2023-04-17 00:00:00,26.66,35.45,0.04511876,4143.2253,0.37
森泰股份,301429,2023-04-17 00:00:00,28.75,26.91,0.0244744991,2956,-10.6
中重科技,603135,2023-04-10 00:00:00,17.8,19.16,0.0500371,9000,0.16
常青科技,603125,2023-04-10 00:00:00,25.98,28.91,0.0376845,4814,-1.03
柏诚股份,601133,2023-04-10 00:00:00,11.66,14.57,0.06205165,13000,-3.0
江盐集团,601065,2023-04-10 00:00:00,10.36,12.61,0.06937734,16000,0.64
中信金属,601061,2023-04-10 00:00:00,6.58,8.78,0.15528828,50115.3847,-1.13
海森药业,001367,2023-04-10 00:00:00,44.48,45.66,0.0229522781,1700,-2.77
南矿集团,001360,2023-04-10 00:00:00,15.38,17.77,0.0313921883,5100,-1.28
登康口腔,001328,2023-04-10 00:00:00,20.68,35.45,0.0292648747,4304.35,-0.84
中电港,001287,2023-04-10 00:00:00,11.88,26.12,0.0653392911,18997.5024,-1.02
陕西能源,001286,2023-04-10 00:00:00,9.6,10.07,0.1856731109,75000,-0.4
南芯科技,688484,2023-04-07 00:00:00,39.99,40.46,0.04602502,6353,-3.85
华海诚科,688535,2023-04-04 00:00:00,35,92.5,0.0362596,2018,-4.05
云天励飞-U,688343,2023-04-04 00:00:00,43.92,56.48,0.04962488,8878.343,-2.0
科源制药,301281,2023-04-04 00:00:00,44.18,28.42,0.0202666681,1935,-3.69
国泰环保,301203,2023-04-04 00:00:00,46.13,40.3,0.0205467963,2000,-6.71
中科磁业,301141,2023-04-03 00:00:00,41.2,61.3,0.0227452194,2215,-2.93
